City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,general toshevo,43.7,28.0333,21.74,76,0,3.39,BG,1719256589
1,mammoth lakes,37.6485,-118.9721,26.4,29,0,5.14,US,1719256549
2,monte alegre,-2.0078,-54.0692,30.42,57,94,1.03,BR,1719256590
3,deland,29.0283,-81.3031,36.09,52,40,1.54,US,1719256590
4,hamilton,39.1834,-84.5333,31.39,46,40,2.57,US,1719256590
5,port elizabeth,-33.918,25.5701,17.28,87,75,6.69,ZA,1719256591
6,santa cruz,-17.8,-63.1667,22.7,83,100,6.69,BO,1719256486
7,margaret river,-33.95,115.0667,8.49,73,0,2.91,AU,1719256591
8,grytviken,-54.2811,-36.5092,-9.81,76,60,7.5,GS,1719256591
9,khilok,51.3674,110.4676,15.24,73,100,1.15,RU,1719256592
10,hami,42.8,93.45,32.44,10,0,3.15,CN,1719256592
11,san jose de jachal,-30.2406,-68.7469,7.86,40,4,3.8,AR,1719256592
12,constantia,44.1833,28.65,22.61,84,1,3.67,RO,1719256592
13,island harbour,50.724,-1.2758,22.02,74,7,0.45,GB,1719256593
14,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,93,100,1.0,RU,1719256593
15,edinburgh of the seven seas,-37.0676,-12.3116,16.07,78,73,14.83,SH,1719256593
16,bandar lampung,-5.4254,105.258,23.54,96,100,1.27,ID,1719256594
17,adamstown,-25.066,-130.1015,22.69,84,62,8.2,PN,1719256594
18,machico,32.7,-16.7667,22.62,81,40,7.72,PT,1719256594
19,broken hill,-31.95,141.4333,7.88,58,79,4.25,AU,1719256595
20,ivdel',60.6911,60.4206,16.27,95,1,0.96,RU,1719256595
21,shizuishan,39.2333,106.7694,21.23,33,0,2.48,CN,1719256595
22,port mathurin,-19.6833,63.4167,23.31,76,27,10.87,MU,1719256596
23,likiep,9.8251,169.3107,28.28,75,100,9.21,MH,1719256596
24,georgetown,5.4112,100.3354,26.97,80,20,2.06,MY,1719256540
25,port-aux-francais,-49.35,70.2167,1.24,67,45,2.56,TF,1719256596
26,chuzhou,32.3219,118.2978,21.84,95,100,1.8,CN,1719256596
27,toliara,-23.35,43.6667,22.62,56,4,7.87,MG,1719256597
28,west island,-12.1568,96.8225,26.99,78,40,4.12,CC,1719256597
29,yeppoon,-23.1333,150.7333,12.88,82,74,3.77,AU,1719256597
30,portland,45.5234,-122.6762,22.7,55,20,5.14,US,1719256354
31,college,64.8569,-147.8028,19.18,52,75,2.06,US,1719256385
32,albany,42.6001,-73.9662,19.36,82,100,7.55,US,1719256598
33,waitangi,-43.9535,-176.5597,10.46,75,32,8.91,NZ,1719256598
34,san ignacio,17.1561,-89.0714,32.08,66,40,2.06,BZ,1719256599
35,yellowknife,62.456,-114.3525,15.23,52,75,7.72,CA,1719256599
36,papatowai,-46.5619,169.4708,9.5,93,95,4.86,NZ,1719256599
37,invercargill,-46.4,168.35,4.21,97,97,1.71,NZ,1719256600
38,zouerate,22.7187,-12.4521,36.45,13,0,5.77,MR,1719256600
39,colonia,50.9333,6.95,25.36,64,0,1.03,DE,1719256600
40,wailua homesteads,22.0669,-159.378,27.24,88,100,7.72,US,1719256600
41,coquimbo,-29.9533,-71.3436,14.85,72,20,4.12,CL,1719256601
42,ascension,30.2169,-90.9001,35.06,61,0,3.09,US,1719256601
43,thompson,55.7435,-97.8558,18.09,88,75,3.6,CA,1719256531
44,ar rutbah,33.0381,40.2848,31.13,18,0,3.59,IQ,1719256601
45,nova vicosa,-17.8919,-39.3719,26.13,69,0,2.56,BR,1719256602
46,puerto natales,-51.7236,-72.4875,-2.75,80,75,1.54,CL,1719256602
47,vennesla,58.2694,7.9741,20.97,59,0,2.57,NO,1719256602
48,hermanus,-34.4187,19.2345,13.78,82,22,2.58,ZA,1719256602
49,olonkinbyen,70.9221,-8.7187,1.71,99,100,4.59,SJ,1719256603
50,iskateley,67.6803,53.1512,7.79,95,100,9.67,RU,1719256603
51,el granada,37.5027,-122.4694,32.7,65,20,5.66,US,1719256603
52,sawakin,19.1059,37.3321,34.42,30,29,5.23,SD,1719256603
53,acarau,-2.8856,-40.12,28.34,70,90,5.55,BR,1719256604
54,lihue,21.9789,-159.3672,27.58,84,100,7.72,US,1719256101
55,hadibu,12.65,54.0333,27.25,74,100,9.66,YE,1719256604
56,blackmans bay,-43.0167,147.3167,4.74,92,100,0.45,AU,1719256604
57,greenville,35.6127,-77.3663,32.02,65,100,3.6,US,1719256605
58,avarua,-21.2078,-159.775,21.03,68,100,2.06,CK,1719256605
59,san luis de la loma,17.2706,-100.8939,29.02,72,99,3.67,MX,1719256605
60,usinsk,65.9939,57.5281,13.39,90,100,7.25,RU,1719256606
61,rongelap,11.1635,166.8941,28.24,76,88,9.11,MH,1719256606
62,ribeira grande,38.5167,-28.7,21.22,78,75,8.23,PT,1719256606
63,puerto ayora,-0.7393,-90.3518,25.98,92,89,0.45,EC,1719256607
64,anadyr,64.75,177.4833,7.28,75,40,7.0,RU,1719256607
65,tura,25.5198,90.2201,25.14,94,100,2.38,IN,1719256607
66,isafjordur,66.0755,-23.124,11.02,62,75,1.54,IS,1719256608
67,hawaiian paradise park,19.5933,-154.9731,27.07,73,40,3.09,US,1719256608
68,gufeng,26.9083,118.9819,20.71,99,94,1.46,CN,1719256608
69,qaqortoq,60.7167,-46.0333,3.05,85,48,3.09,GL,1719256608
70,bredasdorp,-34.5322,20.0403,13.69,83,93,1.63,ZA,1719256609
71,tanjung pinang,0.9167,104.45,28.02,84,75,2.62,ID,1719256609
72,road town,18.4167,-64.6167,32.05,89,40,6.17,VG,1719256609
73,zhangjiajie,29.1294,110.4783,21.79,96,100,1.25,CN,1719256609
74,lethbridge,49.7,-112.8186,23.27,27,20,5.66,CA,1719256325
75,rio grande,-32.035,-52.0986,14.06,69,92,5.69,BR,1719256610
76,pajara,28.3504,-14.1076,21.73,76,41,6.48,ES,1719256610
77,khandyga,62.6667,135.6,14.78,79,46,1.02,RU,1719256611
78,tiksi,71.6872,128.8694,6.83,69,100,1.73,RU,1719256611
79,port alfred,-33.5906,26.891,16.21,97,33,0.89,ZA,1719256611
80,jayrud,33.8074,36.7404,27.25,29,0,0.94,SY,1719256611
81,ushuaia,-54.8,-68.3,-0.19,55,0,1.54,AR,1719256612
82,el abiodh sidi cheikh,32.893,0.5484,28.9,25,100,7.63,DZ,1719256612
83,abeche,13.8292,20.8324,29.22,50,100,7.44,TD,1719256612
84,piti village,13.4626,144.6933,28.03,88,20,3.6,GU,1719256613
85,aykhal,66.0,111.5,16.63,56,14,5.23,RU,1719256613
86,guiuan,11.0333,125.7247,27.57,84,100,5.25,PH,1719256613
87,iqaluit,63.7506,-68.5145,5.85,70,75,4.12,CA,1719256613
88,al jawf,29.5,38.75,31.81,19,0,3.42,SA,1719256614
89,malkapur,20.8833,76.2,32.01,63,94,1.02,IN,1719256614
90,udachny,66.4167,112.4,18.39,50,64,5.29,RU,1719256614
91,chrysoupolis,40.9856,24.6939,27.16,78,40,0.0,GR,1719256615
92,holualoa,19.6228,-155.9522,24.91,92,20,3.6,US,1719256531
93,nikolayevsk-on-amure,53.1406,140.73,6.99,90,100,1.57,RU,1719256615
94,kembe,4.6228,21.8865,24.66,71,50,1.52,CF,1719256615
95,cabo san lucas,22.8909,-109.9124,32.56,53,0,5.14,MX,1719256030
96,chonchi,-42.6128,-73.8092,10.07,76,25,0.78,CL,1719256616
97,palu,-0.8917,119.8707,23.55,96,60,1.65,ID,1719256616
98,westport,41.1415,-73.3579,26.55,52,100,7.2,US,1719256540
99,st. john's,47.5649,-52.7093,17.93,97,100,9.26,CA,1719256617
100,machali,-34.1833,-70.6667,8.6,71,75,4.63,CL,1719256617
101,fallon,39.4735,-118.7774,33.84,25,20,2.57,US,1719256504
102,kiunga,-6.1219,141.2906,23.78,100,100,0.69,PG,1719256617
103,kodiak,57.79,-152.4072,11.73,94,100,3.09,US,1719256618
104,saldanha,-33.0117,17.9442,12.03,79,0,8.09,ZA,1719256618
105,kuta,-8.7233,115.1723,25.97,88,40,4.63,ID,1719256618
106,beyneu,45.3167,55.2,26.13,29,37,2.78,KZ,1719256618
107,beau vallon,-20.4189,57.6953,23.13,83,75,5.14,MU,1719256619
108,nyaunglebin,17.95,96.7333,25.72,93,100,2.13,MM,1719256619
109,afaahiti,-17.75,-149.2833,23.93,71,96,6.39,PF,1719256619
110,noosa heads,-26.3833,153.15,15.06,70,52,3.16,AU,1719256410
111,mount isa,-20.7333,139.5,5.87,65,84,0.0,AU,1719256620
112,campos sales,-7.0744,-40.3761,31.76,28,34,5.98,BR,1719256620
113,vavoua,7.3819,-6.4778,27.03,70,100,2.36,CI,1719256620
114,jamestown,42.097,-79.2353,25.29,49,0,3.6,US,1719256621
115,boryeong,36.3493,126.5977,19.98,89,100,1.02,KR,1719256621
116,anyksciai,55.5256,25.1026,16.36,89,54,1.92,LT,1719256621
117,revda,56.801,59.9303,13.54,96,100,1.33,RU,1719256525
118,margate,51.3813,1.3862,20.39,71,0,3.34,GB,1719256622
119,minas de marcona,-15.2119,-75.1103,17.63,56,0,7.08,PE,1719256622
120,pariaman,-0.619,100.12,26.03,92,45,2.03,ID,1719256623
121,kuching,1.55,110.3333,28.9,96,40,0.45,MY,1719256623
122,den helder,52.9599,4.7593,21.65,77,0,3.6,NL,1719256623
123,ataq,14.5377,46.8319,28.05,63,100,3.89,YE,1719256624
124,keflavik,64.0049,-22.5624,10.95,76,75,9.26,IS,1719256624
125,olinda,-8.0089,-34.8553,26.85,78,40,4.63,BR,1719256624
126,bethel,41.3712,-73.414,25.2,59,75,8.23,US,1719256625
127,bilibino,68.0546,166.4372,12.01,44,1,1.73,RU,1719256625
128,porto torres,40.835,8.3972,21.1,80,89,2.4,IT,1719256625
129,ponta delgada,37.7333,-25.6667,21.4,83,75,7.2,PT,1719256625
130,brookings,44.3114,-96.7984,31.21,70,0,7.2,US,1719256626
131,talnakh,69.4865,88.3972,12.53,89,100,0.5,RU,1719256626
132,kidal,18.4411,1.4078,33.36,31,100,10.93,ML,1719256626
133,les avirons,-21.2418,55.3394,20.05,78,75,6.69,RE,1719256626
134,katabu,-4.9333,122.5167,22.86,96,48,1.17,ID,1719256627
135,grand falls-windsor,48.9332,-55.6649,13.85,91,100,2.23,CA,1719256627
136,itaituba,-4.2761,-55.9836,35.09,43,20,4.12,BR,1719256627
137,hovd,48.0056,91.6419,20.98,42,6,2.72,MN,1719256627
138,krasnyy chikoy,50.3643,108.7512,12.47,94,98,0.81,RU,1719256628
139,olyokminsk,60.3736,120.4264,13.57,72,31,1.7,RU,1719256628
140,tarawa,1.419,172.984,29.05,79,20,3.6,KI,1719256628
141,puerto maldonado,-12.6,-69.1833,33.22,55,40,2.57,PE,1719256629
142,codrington,-38.2667,141.9667,8.54,78,100,6.37,AU,1719256629
143,maragogi,-9.0122,-35.2225,25.55,83,6,4.14,BR,1719256629
144,kaa-khem,51.6833,94.7333,19.42,58,0,2.01,RU,1719256629
145,rafsanjan,30.4067,55.9939,31.09,27,39,3.22,IR,1719256630
146,ramotswa,-24.8716,25.8699,12.79,56,0,1.26,BW,1719256630
147,katsuren-haebaru,26.3369,127.8719,28.43,91,20,4.12,JP,1719256630
148,mount gambier,-37.8333,140.7667,7.03,95,100,3.48,AU,1719256630
149,sidney,-33.8679,151.2073,9.66,88,0,3.09,AU,1719256631
150,longyearbyen,78.2186,15.6401,9.91,66,0,3.09,SJ,1719256631
151,eureka,40.8021,-124.1637,28.15,77,16,0.89,US,1719256595
152,atafu village,-8.5421,-172.5159,28.58,73,100,11.05,TK,1719256631
153,konnur,16.2,74.75,24.26,81,99,8.32,IN,1719256632
154,happy valley-goose bay,53.3168,-60.3315,14.17,82,100,4.63,CA,1719256549
155,whitehorse,60.7161,-135.0538,19.5,40,40,3.6,CA,1719256632
156,shimokizukuri,40.8061,140.3861,21.4,92,95,2.22,JP,1719256632
157,darnah,32.767,22.6367,24.76,86,0,6.13,LY,1719256633
158,midoun,33.8081,10.9923,24.92,83,5,10.29,TN,1719256633
159,badger,64.8,-147.5333,19.14,52,75,2.06,US,1719256633
160,remire-montjoly,4.9167,-52.2667,30.02,79,40,4.63,GF,1719256633
161,san pedro pochutla,15.7333,-96.4667,28.21,71,99,1.67,MX,1719256634
162,san patricio,28.017,-97.5169,34.53,54,66,3.77,US,1719256634
163,sydney,-33.8679,151.2073,9.66,89,0,3.09,AU,1719256304
164,country club estates,31.2127,-81.4643,35.56,57,40,5.66,US,1719256634
165,lorengau,-2.0226,147.2712,27.77,81,98,3.04,PG,1719256635
166,paraty,-23.2178,-44.7131,31.53,39,0,0.77,BR,1719256635
167,fort st. john,56.2499,-120.8529,9.94,93,100,5.14,CA,1719256349
168,north bay,46.3168,-79.4663,27.19,44,20,4.63,CA,1719256636
169,wanning,18.8003,110.3967,27.08,90,100,3.51,CN,1719256636
170,nar'yan-mar,67.6713,53.087,7.83,95,100,9.63,RU,1719256636
171,aasiaat,68.7098,-52.8699,2.8,87,97,4.2,GL,1719256636
172,new norfolk,-42.7826,147.0587,5.4,87,100,0.85,AU,1719256637
173,turpan,42.9333,89.1667,37.98,10,0,1.81,CN,1719256637
174,tsiombe,-25.3,45.4833,19.51,67,10,5.66,MG,1719256637
175,berdigestyakh,62.0989,126.6992,14.25,64,90,2.49,RU,1719256638
176,dudinka,69.4058,86.1778,10.7,84,100,4.86,RU,1719256638
177,bawku,11.0616,-0.2417,31.07,54,100,4.72,GH,1719256638
178,sao joao da barra,-21.6403,-41.0511,29.05,78,3,6.57,BR,1719256638
179,san matias,-16.3667,-58.4,37.03,24,20,2.26,BO,1719256639
180,maun,-19.9833,23.4167,17.98,45,0,4.12,BW,1719256639
181,arraial do cabo,-22.9661,-42.0278,31.98,58,0,4.12,BR,1719256639
182,loushanguan,28.1375,106.82,17.98,93,100,1.16,CN,1719256639
183,nemuro,43.3236,145.575,11.21,100,100,1.14,JP,1719256640
184,at-bashi,41.1702,75.8106,11.86,84,52,0.99,KG,1719256640
185,maceio,-9.6658,-35.7353,26.69,83,75,5.14,BR,1719256640
186,mahina,-17.5065,-149.489,24.87,69,100,3.6,PF,1719256606
187,tazovsky,67.4667,78.7,13.13,85,97,5.98,RU,1719256641
188,kayangel,8.0823,134.7173,29.03,80,100,5.53,PW,1719256641
189,sychevka,55.8252,34.2736,14.18,81,96,1.85,RU,1719256641
190,sinjai,-5.1241,120.253,23.59,89,67,1.05,ID,1719256642
191,saint croix,17.7397,-64.7388,31.25,74,20,7.72,VI,1719256642
192,susuman,62.7833,148.1667,14.3,61,82,1.73,RU,1719256642
193,east london,-33.0153,27.9116,19.18,84,5,2.21,ZA,1719256642
194,luderitz,-26.6481,15.1594,17.76,61,1,7.01,NA,1719256643
195,alaghsas,17.0187,8.0168,35.87,16,1,2.35,NE,1719256643
196,bastia,42.6667,9.3333,20.63,80,75,2.06,FR,1719256643
197,syas'stroy,60.1367,32.5691,12.22,69,5,1.42,RU,1719256643
198,crane,31.3974,-102.3501,34.6,35,0,7.46,US,1719256644
199,chinchilla,-26.75,150.6333,8.34,99,56,3.75,AU,1719256644
200,dakhla,23.6848,-15.958,22.01,73,0,9.26,EH,1719256644
201,xuchang,34.0167,113.8167,24.38,38,0,2.51,CN,1719256644
202,port macquarie,-31.4333,152.9167,7.82,99,18,1.34,AU,1719256645
203,port lincoln,-34.7333,135.8667,9.45,87,100,5.96,AU,1719256645
204,saipan,15.1355,145.701,28.39,78,0,5.14,MP,1719256645
205,skovorodino,53.9833,123.9167,16.41,68,73,0.71,RU,1719256645
206,watertown,42.3709,-71.1828,27.84,52,75,7.72,US,1719256646
207,fort bragg,35.139,-79.006,35.08,56,20,6.69,US,1719256646
208,vanino,49.0869,140.2543,7.36,97,100,0.92,RU,1719256646
209,kajuru,10.3192,7.6892,20.16,89,100,0.65,NG,1719256647
210,gwaram,11.2764,9.8858,32.04,43,100,3.73,NG,1719256647
211,phan rang-thap cham,11.5667,108.9833,24.68,93,100,1.16,VN,1719256647
212,kristiansund,63.1115,7.732,21.03,55,0,7.2,NO,1719256647
213,port douglas,-16.4833,145.4667,20.56,76,88,2.35,AU,1719256648
214,cockburn town,21.4612,-71.1419,28.65,80,100,7.26,TC,1719256648
215,boke,10.9409,-14.2967,26.83,88,100,2.36,GN,1719256648
216,iowa falls,42.5225,-93.2513,32.13,55,0,8.23,US,1719256649
217,vorgashor,67.5833,63.95,12.7,59,70,5.74,RU,1719256649
218,serhiyivka,46.0272,30.3768,22.62,70,76,4.91,UA,1719256649
219,ancud,-41.8697,-73.8203,8.84,72,1,2.44,CL,1719256650
220,lebu,-37.6167,-73.65,9.53,72,0,3.46,CL,1719256650
221,sola,-13.8833,167.55,26.71,85,49,7.63,VU,1719256650
222,fale old settlement,-9.3852,-171.2468,28.23,71,86,11.17,TK,1719256650
223,kaihua,23.3687,104.28,18.15,96,100,2.07,CN,1719256651
224,alofi,-19.0595,-169.9187,18.94,94,75,0.51,NU,1719256651
225,east ballina,-28.8667,153.5833,9.89,93,6,3.13,AU,1719256651
226,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,62,20,2.06,BR,1719256651
227,fedorovka,53.6314,62.7078,15.43,82,74,4.66,KZ,1719256652
228,bandarbeyla,9.4942,50.8122,25.17,85,100,12.57,SO,1719256652
229,oruro,-17.9833,-67.15,17.27,36,20,5.14,BO,1719256652
230,bubaque,11.2833,-15.8333,27.12,85,100,5.42,GW,1719256652
231,eirunepe,-6.6603,-69.8736,30.41,58,99,1.0,BR,1719256653
232,yigo village,13.5361,144.8886,27.16,88,75,6.17,GU,1719256653
233,hammerfest,70.6634,23.6821,11.25,82,75,1.03,NO,1719256653
234,san jeronimo de juarez,17.1333,-100.4667,29.46,70,99,3.47,MX,1719256653
235,sai kung,22.3822,114.2728,30.16,79,100,2.3,CN,1719256654
236,kapuskasing,49.4169,-82.4331,29.05,28,75,7.2,CA,1719256654
237,brisas de zicatela,15.8369,-97.0419,30.29,70,75,4.63,MX,1719256654
238,viedma,-40.8135,-62.9967,7.25,62,100,5.24,AR,1719256655
239,weno,7.4515,151.8468,28.44,81,100,8.69,FM,1719256655
240,kurmuk,10.55,34.2833,22.69,77,63,1.47,SD,1719256655
241,krasnyy kut,50.95,46.9667,17.73,64,26,3.13,RU,1719256655
242,bonthe,7.5264,-12.505,25.99,86,100,4.54,SL,1719256656
243,pisco,-13.7,-76.2167,17.03,88,100,3.6,PE,1719256656
244,balsas,-7.5325,-46.0356,35.34,25,29,3.01,BR,1719256657
245,erenhot,43.6475,111.9767,21.27,25,0,3.26,CN,1719256657
246,igarka,67.4667,86.5833,19.16,71,95,3.57,RU,1719256657
247,usogorsk,63.4106,48.6872,7.53,89,100,4.15,RU,1719256657
248,mount pearl,47.5166,-52.7813,17.47,96,100,9.26,CA,1719256658
249,burutu,5.3509,5.5076,25.45,89,100,3.21,NG,1719256658
250,punta arenas,-53.15,-70.9167,0.06,80,75,5.66,CL,1719256658
251,gizo,-8.103,156.8419,27.76,81,50,3.54,SB,1719256659
252,saint-joseph,-21.3667,55.6167,21.21,81,26,6.84,RE,1719256659
253,ust-nera,64.5667,143.2,16.95,76,100,2.06,RU,1719256659
254,san rafael del sur,11.8485,-86.4384,31.17,64,93,2.95,NI,1719256659
255,vilyuchinsk,52.9306,158.4028,7.15,89,11,0.31,RU,1719256660
256,salamina,37.9643,23.4965,29.37,52,0,1.03,GR,1719256660
257,baruun-urt,46.6806,113.2792,16.28,50,8,1.67,MN,1719256660
258,rivera,-30.9053,-55.5508,11.76,66,0,4.73,UY,1719256661
259,ada,43.4166,-116.1262,30.68,21,0,5.36,US,1719256661
260,marsh harbour,26.5412,-77.0636,28.62,75,89,7.56,BS,1719256542
261,catalao,-18.1658,-47.9464,28.58,27,0,1.92,BR,1719256661
262,mejit,10.2753,170.8646,27.87,75,100,9.15,MH,1719256662
263,itoman,26.1247,127.6694,28.43,94,40,4.12,JP,1719256662
264,zhanaozen,43.3,52.8,24.91,46,0,3.2,KZ,1719256662
265,kibre mengist,5.8833,38.9833,13.91,93,100,1.2,ET,1719256663
266,galle,6.0367,80.217,26.95,84,100,5.99,LK,1719256591
267,kyshtovka,56.555,76.6271,19.49,93,100,3.44,RU,1719256663
268,manacapuru,-3.2997,-60.6206,28.95,69,79,0.44,BR,1719256663
269,contamana,-7.3333,-75.0167,35.08,37,1,1.46,PE,1719256664
270,saint-felicien,48.6501,-72.4491,27.28,38,75,2.06,CA,1719256664
271,egilsstadir,65.2653,-14.3948,12.95,54,0,7.2,IS,1719256664
272,katsuura,35.1333,140.3,22.69,94,94,6.18,JP,1719256664
273,otuzco,-7.9,-78.5833,18.59,35,1,2.9,PE,1719256665
274,kondopoga,62.2057,34.2614,14.82,77,97,1.86,RU,1719256665
275,blythe,33.6103,-114.5964,41.25,22,0,5.14,US,1719256661
276,uturoa,-16.7333,-151.4333,24.82,67,100,6.77,PF,1719256665
277,kasangulu,-4.5911,15.1708,25.03,66,100,1.91,CD,1719256666
278,bathsheba,13.2167,-59.5167,31.34,74,40,10.29,BB,1719256666
279,enewetak,11.3474,162.3373,27.8,81,60,8.98,MH,1719256666
280,sovetskaya gavan',48.9723,140.2878,7.65,97,100,2.24,RU,1719256667
281,lisala,2.15,21.5167,23.25,85,41,0.91,CD,1719256667
282,saint-philippe,-21.3585,55.7679,21.77,82,55,6.47,RE,1719256667
283,nuuk,64.1835,-51.7216,6.6,65,100,4.02,GL,1719256668
284,dwarka,22.2394,68.9678,29.19,86,100,7.07,IN,1719256668
285,malango,-2.9627,119.9001,18.46,100,32,0.63,ID,1719256668
286,celestun,20.8667,-90.4,26.65,85,97,1.67,MX,1719256669
